cadi,pub,paper,lumi,category,name,model,comment,finalstate,crossSection,eTotm,eTotp,eStatm,eStatp,eSystm,eSystp,theoryCrossSection,eTheorym,eTheoryp,flag
TOP-21-004,2201.07301,Submitted to JHEP,138,TOP,154,tt$\gamma$,13 TeV,,1188.36,46.424,46.424,17.1233,17.1233,43.1507,43.1507,1047.95,184.932,184.932,1
TOP-12-039,1702.01404,JHEP 07 (2017) 003,19.7,TOP,155,tZq,8 TeV,,289.487,202.641,231.589,202.641,231.589,0,0,236,11.7047,15.5563,1
TOP-20-010,2111.02860,Submitted to JHEP,138,TOP,156,tZq,13 TeV,,870.469,93.5763,103.646,72.2915,74.2721,59.4177,72.2915,932.858,30.5069,31.0959,1
TOP-12-014,1303.3239,PRL 110 (2013) 172002,5,TOP,157,ttZ,7 TeV,,280,114.018,152.315,110,140,30,60,137,16,12,1
TOP-14-021,1510.01131,JHEP 01 (2016) 096,19.8,TOP,158,ttZ,8 TeV,,242,55,65,55,65,0,0,206,24,19,1
TOP-18-009,1907.11270,JHEP 03 (2020) 056,77.5,TOP,159,ttZ,13 TeV,,950,78.1025,78.1025,50,50,60,60,860,85.44,76.1577,1
TOP-17-016,1808.02913,PRL 121 221802 (2018),35.9,TOP,160,t$\gamma$,13 TeV,,1064.81,319.277,319.277,157.407,157.407,277.778,277.778,750,37.037,37.037,1
TOP-14-021,1510.01131,JHEP 01 (2016) 096,19.5,TOP,161,ttW,8 TeV,,382,102,117,102,117,0,0,203,23,21,1
TOP-21-011,https://cds.cern.ch/record/2804479,,138,TOP,162,ttW,13 TeV,,868,64.0312,65.6049,40,40,50,52,592,96.7471,155.464,1
TOP-18-003,1908.06463,EPJC 80 (2020) 75,137,TOP,164,tttt,13 TeV,,12.6,5.2,5.8,5.2,5.8,0,0,12,2.5,2.2,1
HIG-14-009,1412.8662,EPJC 75 (2015) 212,5.1,HIG,167,ggH,7 TeV,,15583.9,4992.9,5598.1,4992.9,5598.1,0,0,15130,1596.22,1573.52,1
HIG-14-009,1412.8662,EPJC 75 (2015) 212,19.5,HIG,168,ggH,8 TeV,,15223.3,3275.9,3661.3,3275.9,3661.3,0,0,19270,2006.01,2004.08,1
HIG-19-005,https://cds.cern.ch/record/2706103,,137,HIG,169,ggH,13 TeV,,50523.2,4372.2,4372.2,2429,2429,3400.6,3886.4,48580,3753.89,2929.74,1
HIG-14-009,1412.8662,EPJC 75 (2015) 212,5.1,HIG,171,VBF qqH,7 TeV,,2162.94,1099.8,1209.78,1099.8,1209.78,0,0,1222,37.5735,37.5576,1
HIG-14-009,1412.8662,EPJC 75 (2015) 212,19.5,HIG,172,VBF qqH,8 TeV,,1609.56,568.08,615.42,568.08,615.42,0,0,1578,48.5542,48.5798,1
HIG-19-005,https://cds.cern.ch/record/2706103,,137,HIG,173,VBF qqH,13 TeV,,2836.27,718.523,718.523,567.255,605.072,302.536,378.17,3781.7,114.573,115.046,1
HIG-14-009,1412.8662,EPJC 75 (2015) 212,19.5,HIG,175,VH,8 TeV,,1075.1,436.761,459.159,436.761,459.159,0,0,1119.9,34.2144,34.2144,1
HIG-19-005,https://cds.cern.ch/record/2706103,,137,HIG,177,WH,13 TeV,,2004.58,480.55,508.01,384.44,398.17,288.33,302.06,1373,27.8011,26.9752,1
HIG-19-005,https://cds.cern.ch/record/2706103,,137,HIG,178,ZH,13 TeV,,866.026,256.273,273.947,220.925,229.762,132.555,150.229,883.7,33.4548,36.4359,1
HIG-14-009,1412.8662,EPJC 75 (2015) 212,19.5,HIG,180,ttH,8 TeV,,422.811,134.472,155.16,134.472,155.16,0,0,129.3,10.79,7.76017,1
