label,cadi,arxiv,paper,lumi,category,process,com,finalstate,xs,tot_down,tot_up,stat_down,stat_up,syst_down,syst_up,xs_theory,theory_down,theory_up
VBFZ8,FSQ-12-035,1410.3153,EPJC 75 (2015) 66,19.7,VBS,qqZ,8,,174000,42720,42720,15000,15000,40000,40000,208000,18000,18000
VBFZ13,SMP-16-018,1712.09814,EPJC 78 (2018) 589,35.9,VBS,qqZ,13,,534000,60407,60407,20000,20000,57000,57000,543000,23769.7,23086.8
VVV13,SMP-19-014,2006.11191,PRL 125 151802 (2020),137,TB,VVV,13,,1.01e+06,233238,258070,200000,210000,120000,150000,992100,10000,10000
WWW13,SMP-19-014,2006.11191,PRL 125 151802 (2020),137,TB,WWW,13,,590000,198494,226274,150000,160000,130000,160000,509400,10000,10000
WWZ13,SMP-19-014,2006.11191,PRL 125 151802 (2020),137,TB,WWZ,13,,300000,107703,130000,100000,120000,40000,50000,354000,3500,3500
WZZ13,SMP-19-014,2006.11191,PRL 125 151802 (2020),137,TB,WZZ,13,,200000,111803,174643,110000,160000,20000,70000,91600,920,920
ZZZ13,SMP-19-014,2006.11191,PRL 125 151802 (2020),137,TB,ZZZ,13,,200000,0,0,0,0,0,0,37100,370,370
WVg,SMP-13-009,1404.4619,PRD 90 032008 (2014),19.3,TB,WV$\gamma$,8,,311000,0,0,0,0,0,0,91600,21700,21700
Wgg8,SMP-15-008,1704.00366,JHEP 10 (2017) 072,19.4,TB,W$\gamma\gamma$,8,,4900,2128.38,2128.38,1400,1400,1603.12,1603.12,4760,530,530
Wgg13,SMP-19-013,2105.12780,JHEP 10 (2021) 174,137,TB,W$\gamma\gamma$,13,,13630,4442.85,4478.05,1890,1930,4020.8,4040.79,18700,123.693,123.693
WWg13,SMP-22-006,2310.05164,PRL 132 (2024) 121901,138,TB,WW$\gamma$,13,,6000,1676.31,1676.31,1000,1000,1345.36,1345.36,4610,343.657,343.657
Zgg8,SMP-15-008,1704.00366,JHEP 10 (2017) 072,19.4,TB,Z$\gamma\gamma$,8,,12700,2300,2300,1400,1400,1824.83,1824.83,12950,1470,1470
Zgg13,SMP-19-013,2105.12780,JHEP 10 (2021) 174,137,TB,Z$\gamma\gamma$,13,,5410,892.244,865.794,550,580,702.567,642.806,5960,60.8276,60.8276
EWKWV13,SMP-20-013,2112.05259,PLB 834 (2022) 137438,138,VBS,WV,13,,1.8955e+06,482582,501130,267600,267600,379100,423700,2.23e+06,120830,94339.8
